id,domain,duration,university,fees,cgpa,ielts,independent_scholarship,university_scholarship
33,Nursing,24,University of Central Lancashire (UCLan),4150,0,0,0,0
34,Project Management,12,University of Roehampton,17325,0,6.5,0,1
35,Management,12,Warwick Business School,33800,2.1,7,0,0
36,Accounting,12,Edinburgh Napier University,17090,0,6,1,0
37,"Risk, Crisis and Resilience Management",24,University of Portsmouth,11250,2.2,6.5,1,1
38,International Management,12,University of the West of England (UWE Bristol),16750,2.2,6.5,1,0
39,Master of Business Administration with placement year,12,University of Roehampton,18900,2.1,6.5,0,1
40,Computer Science online,27,University of Bath Online,5777,2.2,6.5,1,0
41,International Trade and Economic Law,12,University of the West of England (UWE Bristol),15500,2.2,6.5,1,0
42,Construction Project Management,12,University of the West of England (UWE Bristol),17250,2.2,6.5,1,0
43,International Financial Management,12,Queen Mary University of London,28900,2.1,7,1,1
44,Data Analytics,24,University of Portsmouth,9400,2.2,6,1,0
45,Creative Writing,24,University of Hull,5300,2.2,6,0,1
46,Actuarial Science and Data Analytics,12,Queen Mary University of London,31850,2.1,0,0,1
47,Environmental Analytics,12,Queen Mary University of London,31850,2.1,0,1,1
48,Data Literacy for Social and Environmental Justice (Online),36,University of St Andrews,6000,2.1,7,0,0
49,Education (part-time distance learning 3 years),36,University of the West of England (UWE Bristol),0,0,0,1,0
50,Financial Mathematics,12,Queen Mary University of London,29950,2.1,6.5,0,1
51,Engineering Management,12,University of the West of England (UWE Bristol),17250,2.2,6.5,1,0
52,Marketing and the Creative Industries,12,Queen Mary University of London,31850,2.1,7,0,1
53,International Human Resource Management,12,Queen Mary University of London,31850,2.1,7,0,0
54,"Dental Public Health, Policy and Leadership (Online)",21,Queen Mary University of London,8850,2.1,6.5,0,1
55,Psychology,24,University of Portsmouth,9400,2.2,6.5,0,1
56,Computing,12,University of Roehampton,17325,2.2,6.5,0,0
57,Dental Science for Clinical Practice,12,Queen Mary University of London,40250,0,6.5,1,0
58,Marketing and Digital Analytics,12,Queen Mary University of London,31850,2.1,6.5,1,0
59,Environmental Sustainability,12,Edinburgh Napier University,17090,2.2,6,0,0
60,Pre-Master's Programme,12,ONCAMPUS Sunderland,16470,0,4.5,0,0
61,Heritage Management (with HRP),12,Queen Mary University of London,24000,2.1,7,1,1
62,Interior Design,24,Arts University Bournemouth,4250,2.2,0,1,0
63,Film Practice,24,Arts University Bournemouth,4250,2.2,0,1,1
64,"Plant and Fungal Taxonomy, Diversity and Conservation",12,Queen Mary University of London,28900,2.1,6.5,0,0
65,Blockchain in Business and Society,12,Queen Mary University of London,31850,2.1,7,1,0
66,Digital Media,12,London Metropolitan University,18150,2.1,6,1,1
67,"Dental Public Health, Policy and Leadership (Online)",24,Queen Mary University of London,11450,2.1,6.5,0,1
68,International Business,12,Queen Mary University of London,31850,2.1,7,0,1
69,Pre-Master’s Programme,12,University of Hull,15990,0,4.5,0,0
70,Project Management,12,University of the West of England (UWE Bristol),18000,2.2,6.5,0,1
71,Business and Finance,12,Warwick Business School,34700,2.1,7,0,0
72,Artificial Intelligence online,27,University of Bath Online,5777,2.2,6.5,0,1
73,Accounting and Finance,12,Queen Mary University of London,31850,2.1,7,0,1
74,Bioinformatics,12,Queen Mary University of London,31850,2.1,6.5,0,0
75,"Dental Public Health, Policy and Leadership (Online)",9,Queen Mary University of London,8850,2.1,6.5,0,1
76,Experimental Oral Pathology (Oral Sciences),12,Queen Mary University of London,28900,2.2,6.5,0,1
77,Engineering Project Management,12,University of Roehampton,19850,2.1,0,0,1
78,Psychology - Mental Health Sciences,12,Queen Mary University of London,24000,2.1,0,1,0
79,Marketing,12,Queen Mary University of London,31850,2.1,7,0,0
80,Global Business Management,12,University of Roehampton,17850,2.1,6.5,1,0
81,Digital Marketing,12,University of Roehampton,17325,0,6.5,0,0
82,Cyber Security,12,University of the West of England (UWE Bristol),18000,2.2,6.5,1,0
83,Dementia,24,University of Hull,5300,2.2,6,0,0
84,Construction Project Management,12,Edinburgh Napier University,17280,2.2,6,0,0
85,Luxury Management and Guest Experience,18,Glion Institute of Higher Education,21333,0,0,0,1
86,Heritage Management,12,Queen Mary University of London,24000,2.1,7,0,0
87,Public Health,12,Edinburgh Napier University,18540,2.2,0,1,1
88,Acting,12,The Liverpool Institute for Performing Arts (LIPA),20750,2.1,5.5,0,1
89,Digital Transformation,24,University of Hull,4900,2.2,6,1,0
90,Advanced Security and Digital Forensics,12,Edinburgh Napier University,17280,2.2,6,0,0
91,Extended Master's,15,ONCAMPUS Sunderland,0,3.1,0,0,1
92,Illustration,24,Arts University Bournemouth,9900,2.2,0,0,0
93,Entrepreneurship Management and Innovation online,27,University of Bath Online,6666,2.2,7,1,1
94,Animation,15,University of the West of England (UWE Bristol),12800,0,6.5,0,1
95,Education,24,University of Hull,4475,2.2,6,1,1
96,Data Science,12,University of Roehampton,17325,2.2,6.5,1,0
97,People Analytics,24,University of Hull,5300,2.2,6,1,0
98,Creative Events Management,24,Falmouth University Flexible Learning,6075,0,6.5,0,1
99,Biodiversity and Conservation,12,Queen Mary University of London,28900,2.1,6.5,0,1
100,Robotics and Autonomous Systems Engineering,12,Edinburgh Napier University,17090,2.2,0,1,0
101,Real Estate Management,12,University of the West of England (UWE Bristol),17250,2.2,6.5,0,0
102,Renewable Energy,12,Edinburgh Napier University,17280,2.2,6,0,1
103,Human Resource Management,24,University of Central Lancashire (UCLan),4274,2.2,6.5,0,0
104,Landscape Architecture Studies,24,Arts University Bournemouth,4250,2.2,0,0,1
105,International Marketing and Business Strategies,12,Queen Mary University of London,31850,2.1,7,0,1
106,Oral Biology,12,Queen Mary University of London,28900,2.2,6.5,1,1
107,Finance,12,Warwick Business School,39750,2.1,7,0,1
108,Management of Information Systems and Digital Innovation,12,Warwick Business School,32250,2.1,7,0,0
109,Digital Technologies for Smart Cities,12,Edinburgh Napier University,17090,2.2,0,1,1
110,Law and Business - Finance and Accounting,12,The University of Exeter,24300,2.2,0,0,1
111,Master of Business Administration,36,University of the West of England (UWE Bristol),6000,2.2,6.5,0,1
112,"Real Estate, Finance and Hotel Development",18,Glion Institute of Higher Education,27133,0,0,0,0
113,Artificial Intelligence in the Biosciences,12,Queen Mary University of London,28900,2.1,6.5,1,1
114,Music Industry Management,12,The Liverpool Institute for Performing Arts (LIPA),19500,2.1,5.5,0,0
115,Dental Technology,12,Queen Mary University of London,29950,2.2,6.5,0,1
116,Minimally Invasive Dentistry,12,Queen Mary University of London,53500,0,6.5,0,1
117,Data Science,12,University of the West of England (UWE Bristol),18000,2.2,6.5,0,1
118,Entrepreneurship and Innovation,12,Queen Mary University of London,28900,2.1,7,0,0
119,Marketing and Digital Communications,12,Queen Mary University of London,31850,2.1,7,0,0
120,Creative Industries and Arts Organisation,12,Queen Mary University of London,24000,2.1,7,0,0
121,Engineering Management,24,University of Hull,4125,2.2,6,1,1
122,Finance and Economics,12,Warwick Business School,37000,2.1,7,0,0
123,Applied Statistics and Data Science,12,Queen Mary University of London,31850,2.1,0,0,1
124,Postgraduate Laws,12,University of London,10000,2.2,6.5,1,0
125,International Business,12,Warwick Business School,32250,2.1,7,0,0
126,Engineering Business Management,12,The University of Exeter,32500,2.2,6.5,1,0
127,International Supply Chain Management,12,The University of Exeter,29500,2.2,6.5,0,1
128,Psychology (Conversion),12,Queen Mary University of London,28900,2.1,6.5,0,0
129,Graphic Design,24,Falmouth University Flexible Learning,6075,2.2,6.5,1,1
130,Sports Management,12,The University of Exeter,29700,2.1,0,1,1
131,Risk Analytics,12,Queen Mary University of London,31850,2.2,0,0,1
132,International Law,12,University of the West of England (UWE Bristol),16750,2.2,6.5,0,0
133,Illustration,24,Falmouth University Flexible Learning,6075,2.2,6.5,0,0
134,Global Logistics and Supply Chain Analytics,12,Edinburgh Napier University,18800,2.2,6.5,1,0
135,Engineering Business Management online,27,University of Bath Online,6666,2.2,6.5,1,0
136,Digital Marketing,9,The University of Exeter,29500,2.2,6.5,0,1
137,Artificial Intelligence,24,University of Hull,4125,2.2,0,1,0
138,International Business and Strategy,12,The University of Exeter,26800,2.2,0,1,1
139,Dance Practice and Performance,12,University of Roehampton,17325,2.2,6.5,1,0
140,Mathematical Finance,12,Warwick Business School,37000,2.1,7,1,1
141,Graphic Design,24,Arts University Bournemouth,9900,2.2,0,0,1
142,Pre-Master’s Programme - Engineering and Physical Sciences,12,ONCAMPUS Aston,20370,0,5,0,1
143,Creative Writing,12,University of Roehampton,17325,2.1,6.5,1,0
144,Real Estate Finance and Investment,12,University of the West of England (UWE Bristol),17250,2.2,6.5,1,1
145,Business with Operations Management,12,Warwick Business School,32250,2.1,7,0,1
146,Global Human Resource Management,24,University of Portsmouth,9500,2.2,6.5,1,1
147,Biotechnology and Synthetic Biology,12,Queen Mary University of London,28900,2.1,6.5,1,1
148,Craniofacial Trauma Reconstruction (Online),24,Queen Mary University of London,13250,0,6.5,1,1
149,International Finance,12,Edinburgh Napier University,17090,2.2,6,0,0
150,Information Technology,12,University of the West of England (UWE Bristol),17250,2.2,6.5,1,0
151,Accounting and Management,12,Queen Mary University of London,31850,2.1,7,0,1
152,Management,12,Queen Mary University of London,31850,2.1,7,1,0
153,Master of Business Administration,12,Exeed College,9800,0,0,0,0
154,Clinical Neuroscience,12,University of Roehampton,17325,2.1,6.5,1,1
155,Business and Management,12,The University of Exeter,26800,2.2,0,0,0
156,International Business Administration - Extended,12,University of Wolverhampton,17000,0,6,1,0
157,Costume Making,12,The Liverpool Institute for Performing Arts (LIPA),19500,2.1,6.5,0,1
158,Virtual and Extended Realities,12,University of the West of England (UWE Bristol),16000,0,6.5,1,0
159,Pre-Master’s Programme - Business,12,ONCAMPUS Aston,20370,0,5,1,0
160,Public Health,12,University of Wolverhampton,15950,2.2,6.5,1,1
161,Writing for Script and Screen,24,Falmouth University Flexible Learning,6075,0,6.5,1,1
162,Education (part-time distance learning 5 years),60,University of the West of England (UWE Bristol),0,0,0,1,0
163,Social Policy,24,University of Central Lancashire (UCLan),4274,2.2,6.5,0,1
164,Data Science,12,University of Kent,27000,2.2,0,1,1
165,Creative Writing,12,University of Kent,18600,2.2,0,1,0
166,Autism Studies,12,University of Kent,18600,0,7,1,1
167,Psychology Conversion,12,University of Kent,15134,2.2,0,0,1
168,Social Work,24,University of Kent,18600,2.2,0,1,1
169,Law,12,University of Kent,20000,2.1,7,1,0
170,Applied Actuarial Science,12,University of Kent,23900,1,6.5,0,0
171,Clinical Psychology,12,University of Kent,20000,2.2,0,0,1
172,Computer Science (Cyber Security),12,University of Kent,22700,2.2,6.5,1,1
173,History and Philosophy of Art,12,University of Kent,18600,2.2,0,0,1
174,Biomedicine,12,University of Kent,22700,2.2,6.5,1,0
175,Applied Behaviour Analysis,12,University of Kent,18600,1,7,0,0
176,Criminology,12,University of Kent,18600,0,7,1,0
177,Conservation Science,12,University of Kent,23900,2.2,6.5,1,0
178,Architecture and the Sustainable Environment,12,University of Kent,18600,2.2,6.5,0,0
179,International Social Policy,12,University of Kent,18600,1,7,1,1
180,Film with Practice,12,University of Kent,18600,2.2,0,1,1
181,Advanced Computer Science,12,University of Kent,22700,2.2,6.5,1,0
182,Actuarial Science,12,University of Kent,23900,1,0,1,0
183,Cognitive Psychology and Neuropsychology,12,University of Kent,20000,2.2,6.5,1,0
184,Forensic Science,12,University of Kent,22700,2.2,6.5,0,1
185,Philanthropic Studies (Distance Learning),24,University of Kent,4400,2.1,7,1,0
186,Computer Science (Artificial Intelligence),12,University of Kent,22700,2.2,6.5,0,1
187,International Relations,12,University of Kent,18600,1,6.5,1,0
188,Economics,12,University of Kent,20000,2.2,6.5,1,0
189,"Conflict, Governance and Global Development",12,University of East Anglia,21200,2.1,6,1,0
190,Palliative Care,24,University of Liverpool,27800,2.1,0,1,1
191,Human Nutrition,12,University of Plymouth,19000,2.2,6.5,1,0
192,Health Research,12,University of York,23900,2.1,6.5,1,1
193,Mathematical Sciences,12,University of York,23900,2.1,6,1,0
194,Interpreting and Translating (Italian and German),12,University of Bath,28300,2.1,7.5,1,0
195,Visualisation - Medical Visualisation and Human Anatomy,12,The Glasgow School of Art,32500,0,0,1,1
196,"Animal Welfare Science, Ethics and Law",12,University of Glasgow,28260,2.2,6.5,1,1
197,Music - Performance,12,University of Birmingham,25290,2.1,6.5,1,0
198,Media and International Development,12,University of East Anglia,21200,2.1,6,1,1
199,Education,24,University of Bath,11200,2.1,6.5,0,0
200,Information Systems,12,University of Portsmouth,20800,2.1,0,0,1
201,Insolvency Law - Part-time (Online),24,The University of Law,5675,2.2,0,0,1
202,Automotive and Motorsport Engineering,12,Brunel University London,25000,2.2,6,1,0
203,Economics - Pre-Master’s Programme,12,ONCAMPUS Aston,20370,0,0,0,0
204,Electrical Energy Systems,12,Cardiff University,28200,0,0,1,1
205,"Global Challenges-Geopolitics, Inequalities and Mobilities",12,University of Bath,0,2.1,0,1,1
206,Psychology Conversion (Distance Learning),24,University of Huddersfield Distance Learning Unit,7920,2.2,6.5,0,0
207,Bio-business - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,1,1
208,Biomedical Sciences and Translational Medicine,12,University of Liverpool,21850,2.2,0,1,0
209,Architecture,24,University of the West of England (UWE Bristol),16500,2.2,6.5,0,1
210,Secondary Initial Teacher Education History,12,University of the West of England (UWE Bristol),15850,2.2,6.5,1,0
211,Legal Practice,12,University of Hertfordshire,14805,2.2,6.5,1,1
212,Clinical Education,12,University of Plymouth,19800,0,6.5,0,0
213,Art History,12,University of St Andrews,25880,2.1,7,1,0
214,Working with Adult and Young Offenders,12,University of South Wales,15100,2.2,6,1,0
215,Public Health,16,University of Essex Online,6213,0,6.5,0,1
216,Evolutionary and Behavioural Ecology,12,The University of Exeter,29500,2.1,6.5,1,0
217,Public Health - Master's Foundation Programme (PMP),12,ONCAMPUS Southampton,23475,0,7,1,1
218,Screen Acting,12,MetFilm School,22000,2.1,6.5,0,1
219,Academic Practice,30,University of Liverpool Online Programmes,6426,0,6.5,1,1
220,Corporate Governance,27,Bournemouth University,0,2.2,6,1,1
221,Legal Technology - Full-time,12,"The University of Law, Postgraduate programmes",17000,2.2,0,0,1
222,Formulation Engineering,12,University of Birmingham,29340,2.1,6,0,0
223,Mechanical Engineering with Management,12,University of Liverpool,28000,2.1,0,1,0
224,Clinical and Developmental Neuropsychology,12,Bournemouth University,17500,2.1,6.5,1,0
225,Investment Banking and Finance,12,University of Glasgow,35640,2.1,6.5,1,1
226,User Experience and Service Design,12,Loughborough University,29750,2.1,6.5,0,1
227,Art History and Curating,12,University of Birmingham,23310,2.1,6.5,0,1
228,Modern History,12,University of Glasgow,24000,2.1,6.5,1,0
229,Advanced Engineering Management,12,University of Birmingham,29340,2.1,6.5,1,0
230,Visual Culture,12,University of Nottingham,21500,2.1,7,0,0
231,Education,12,University of Glasgow,25290,2.1,7,0,1
232,Marketing - Pre-Master Programme,12,Loughborough University,23280,0,0,0,1
233,Inclusion (Autism Adults),36,University of Birmingham,7770,0,0,0,1
234,Medical Research,12,University of Leicester,23900,0,7,1,1
235,Sport Coaching,24,University of Birmingham,11655,2.1,6,1,0
236,International Procurement and Supply Chain Management,12,University of Plymouth,18400,0,6.5,1,0
237,Psychology,12,Bangor University,18750,2.1,0,1,0
238,Psychology,12,University of Birmingham,23520,2.2,6.5,0,1
239,Applied Neuropsychology,12,University of Glasgow,28260,2.1,7,1,0
240,International Business,12,University of Derby,14900,2.2,6.5,1,1
241,Primary SEND,8,University of Birmingham,24120,2.2,0,1,1
242,Environmental Modelling and Data Analysis,12,University of Bristol,28800,2.1,0,1,1
243,Digital Documentaries,12,Cardiff University,22700,2.1,7,0,0
244,Laws (Part Time),24,University of East Anglia,21200,2.2,6,1,0
245,Financial Management and Risk,12,University of Greenwich,18150,2.2,6.5,1,1
246,Accounting and Finance,12,The University of Exeter,31000,2.1,6.5,1,1
247,Advanced Clinical Practice (Pelvic Health),12,Brunel University London,23615,0,0,1,1
248,Oral Biology,12,Cardiff University,25200,0,0,1,1
249,"Water, Waste and Environmental Engineering with Industrial Practice",24,University of Greenwich,19975,2.2,0,0,0
250,Clinical Anatomy,12,University of York,29400,2.1,6.5,0,1
251,Translation and Professional Communication Skills - Pre-Master's Programme (PMP),12,ONCAMPUS Southampton,24195,0,5.5,1,0
252,Curating Art and Public Programmes,12,London South Bank University,0,2.2,6.5,0,0
253,Master of Business Administration,30,University of Liverpool Online Programmes,8820,2.1,6.5,0,0
254,Biopharmaceutical Development,12,Faculty of Biological Sciences,33000,2.1,6.5,0,1
255,Occupational Therapy (Pre-Registration),24,Sheffield Hallam University,17570,2.2,0,1,1
256,Curatorial Practice (Contemporary Art),12,The Glasgow School of Art,25000,0,0,0,0
257,International Business with Entrepreneurship (Professional Practice),18,University of Huddersfield,17900,2.1,7,1,0
258,Business Administration with Internship (MBA) - Pre-Master Programme,12,Loughborough University,23280,0,0,1,0
259,Automotive Engineering with Electric Propulsion,12,University of Bath,31600,2.2,6.5,0,0
260,Marketing Online,12,The University of Law Business School Online,11300,2.2,6.5,0,0
261,Design (Graphics),12,Sheffield Hallam University,17205,2.2,6,1,0
262,Mesolithic Studies,12,University of York,23900,2.1,6.5,0,0
263,Medieval History,12,University of York,23900,2.1,7,1,0
264,International Relations and Democratic Politics,12,University of Westminster,17000,2.2,6.5,0,0
265,Construction Management - Pre-Master Programme,12,Loughborough University,23280,0,0,0,1
266,Teaching English to Speakers of other Languages and Applied Linguistics,12,Queen's University Belfast,21500,2.1,6.5,0,1
267,Bar Practice Course (BPC) - part-time,20,"The University of Law, Postgraduate programmes",8400,0,7.5,1,0
268,Physics of Materials,12,Loughborough University,28750,2.2,6.5,1,0
269,Philosophy and Sociology of Science,12,The University of Exeter,24300,2.2,6.5,0,1
270,Philosophy and Mental Health,36,University of Central Lancashire (UCLan),975,0,6.5,1,1
271,Advanced Professional Practice (Nursing and Midwifery Professions),36,University of Plymouth,1220,2.2,6.5,0,1
272,"Atmosphere, Ocean and Climate",12,University of Reading,25800,2.2,6.5,1,0
273,Quality Improvement and Patient Safety,42,University of Dundee,3510,0,6.5,0,1
274,Health Services Management,12,University of Glasgow,30240,2.2,6.5,1,0
275,Digital Design and Construction,12,University of Reading,26950,2.2,6.5,0,0
276,Disease Mechanisms and Therapeutics,12,Brunel University London,23615,2.2,6.5,0,0
277,Fashion Design - Master's Foundation Programme (MFP),12,ONCAMPUS Southampton,23475,0,6.5,0,1
278,Refugee Protection and Forced Migration Studies,24,University of London,4641,2.1,7,1,0
279,Artificial Intelligence,30,University of Liverpool Online Programmes,6426,2.2,6.5,0,0
280,Sustainability and Management,12,University of Bath,29000,2.1,7,1,1
281,Cyber Security and Forensic Information Technology,12,University of Portsmouth,19200,2.1,6,1,0
282,Business Analytics - Pre-Master Programme,12,Loughborough University,23280,0,0,1,0
283,International Business and Digital Transformation,18,University of Reading,18500,2.1,0,1,0
284,Earth Sciences,24,University of Liverpool,27800,0,0,1,0
285,Mathematics,12,The University of Exeter,27500,2.1,0,0,0
286,Management (Online),30,University of Liverpool,16065,2.1,6.5,1,0
287,Education,12,University of York,23900,2.1,6.5,1,1
288,English Literature,12,Kingston University,16900,2.2,6.5,1,0
289,Computing and IT Management,12,Cardiff University,30200,0,0,0,0
290,Cultural Heritage (On-Campus or by Distance Learning),12,University of Birmingham,21840,2.1,6.5,1,1
291,Automotive Journalism,12,Coventry University,18600,0,7,0,1
292,Responsible Tourism Management,18,Leeds Beckett University,2078,2.2,6,0,0
293,Strength and Conditioning,12,University of Wolverhampton,15950,2.1,6.5,1,0
294,Global Health,12,University of Plymouth,19800,0,6.5,0,0
295,Education,12,University of Reading,22350,2.1,6.5,0,0
296,Visual Communication - Illustration,12,London Metropolitan University,18150,2.2,6,0,1
297,Interpreting and Translating (French and German),12,University of Bath,28300,2.1,7.5,0,0
298,History of Art and Architecture of the Islamic Middle East,12,SOAS University of London,25320,2.2,6.5,0,0
299,Theatre - Socially Engaged Practice,12,University of Portsmouth,18100,2.1,6.5,0,1
300,Fashion and Lifestyle Marketing,12,Glasgow Caledonian University,16200,2.2,6,0,0
301,Psychology (Online),24,Coventry University,18600,2.2,6.5,1,0
302,Linguistics (by research),12,University of York,23900,2.1,7,1,0
303,Cognitive Behavioural Psychotherapy,18,Queen's University Belfast,8900,2.2,6.5,1,1
304,Composing for Film and Television,12,Kingston University,19900,2.2,6.5,0,1
305,Archaeology and Heritage (Distance Learning),12,University of Leicester,8600,2.1,6.5,1,1
306,Project Management,12,University of Portsmouth,17900,0,6.5,1,0
307,Human Resource Management,12,Edinburgh Napier University,18800,2.2,6,1,1
308,Electrical Power and Smart Grids,12,The University of Exeter,29100,2.2,0,1,1
309,Banking and Finance,12,University of Huddersfield,16000,2.2,6,0,1
310,Global Sustainable Development (Dumfries Camus),48,University of Glasgow,21600,0,0,1,1
311,Actuarial Science,12,Queen's University Belfast,25800,2.1,6.5,0,0
312,Criminology and Criminal Justice,12,University of Glasgow,24000,2.1,6.5,0,0
313,Real Estate Development,12,University of Westminster,17000,2.2,6.5,0,0
314,Engineering Project Management,12,Bournemouth University,17750,2.2,6,1,1
315,Intellectual Property Law,8,Brunel University London,6440,2.2,6.5,0,0
316,Photography,12,Sheffield Hallam University,17205,2.2,6,1,0
317,International Relations with Placement Year,24,University of Hertfordshire,17950,0,0,1,0
318,International Healthcare Management,24,University of Essex Online,6214,0,6.5,1,1
319,Accounting and Finance,12,University of Portsmouth,17900,2.2,6.5,0,1
320,Digital Media and Society,12,Cardiff University,22700,2.2,7,1,1
321,Late Antique and Byzantine Studies - Pre-Master Programme,12,ONCAMPUS London,20580,0,5.5,0,1
322,Digital Creative Media - Pre-Master Programme,12,Loughborough University,23280,0,0,1,1
323,Criminology,12,Coventry University,18600,2.2,6.5,0,1
324,International Development with Conflict and Humanitarian Action,24,University of Bath,13250,2.1,6.5,0,0
325,Economics,12,University of Birmingham,25920,2.1,6.5,0,0
326,Psychodynamic Counselling and Psychotherapy - Pre-Master's Programme,6,"Birkbeck, University of London",20580,0,5.5,0,1
327,Early Modern History - Pre-Master's Programme,12,"Birkbeck, University of London",19980,0,5.5,1,1
328,Film and Television Production with Directing,12,University of York,29400,2.1,6.5,1,0
329,Planning and Urban Leadership (Distance Learning),12,University of the West of England (UWE Bristol),10250,2.2,6.5,1,0
330,"Railway Operations, Management and Policy",12,University of Leeds,0,2.1,6.5,1,0
331,Business Consulting and Psychology,12,University of Aberdeen Business School,27000,2.2,6.5,0,0
332,Chemistry (by Research),12,University of York,27900,2.2,6,1,1
333,Public Relations and Strategic Communication,12,Leeds Beckett University,17500,2.2,6,0,1
334,International Development,12,University of Bath,22400,2.1,6.5,1,1
335,Sustainable Forest and Nature Management (SUFONAMA) (Erasmus Mundus Course),24,Bangor University,17500,1,0,1,0
336,Transport Planning and Management,12,University of Westminster,15000,2.2,6.5,1,1
337,"Accounting, Finance and Management",12,University of Bristol,34000,2.1,6.5,1,1
338,Learning Disabilities Nursing,24,Kingston University,18100,2.2,0,1,1
339,International Commercial and Business Law,12,Queen's University Belfast,21500,2.1,6.5,1,1
340,Product and Furniture Design,12,Kingston University,20900,2.2,0,1,1
341,Psychology (Conversion),12,University College Birmingham,14500,0,0,0,0
342,"Journalism, Media and Culture",24,Cardiff University,24450,2.1,7,0,0
343,Media and Communications (Media Practice),12,Brunel University London,21260,2.2,0,0,0
344,Professional Writing,12,University of Westminster,15000,2.2,6.5,1,0
345,Conservation Management of African Ecosystems,12,University of Glasgow,28260,2.1,6.5,1,0
346,Intellectual Property,12,Bournemouth University,16750,2.2,6.5,0,0
347,History of Art,12,University of Birmingham,21840,2.1,6.5,0,0
348,"Diplomacy, International Politics and Trade - Pre-Master Programme",12,Loughborough University,23280,0,0,0,1
349,Nutritional Sciences,12,University of Nottingham,30200,2.1,6.5,1,1
350,Entrepreneurship and Management,12,University of Bath,29000,2.1,7,0,0
351,Augmentative and Alternative Communication (part time),24,University of Dundee,12650,2.2,6.5,0,1
352,Advanced Mechanical Engineering,12,Coventry University,20500,2.2,6.5,0,1
353,Psychology (Online),15,University of Derby,5064,2.2,6.5,0,1
354,Data Science,12,University of South Wales,15100,2.2,6,1,1
355,Economics,12,Durham University,26000,2.1,6.5,1,1
356,Social Science Research Methods (Social-Legal) (Law),12,Cardiff University,23200,0,0,1,1
357,Economics and Policy of Energy and the Environment,12,UCL,34400,2.1,7,0,0
358,Modern and Contemporary Writing,12,University of East Anglia,21200,2.1,7,0,1
359,Intellectual Property Law,12,Cardiff University,22700,0,0,1,0
360,Architecture,24,London South Bank University,16900,2.2,6.5,0,0
361,User Experience Design,12,Loughborough University,29750,2.1,6.5,0,0
362,International Project Management - Pre-Master Programme,12,Loughborough University,23280,0,0,1,1
363,Advanced Manufacturing Engineering and Management,12,Loughborough University,28750,2.1,6.5,1,1
364,Secondary History,12,University of Huddersfield,16000,2.2,0,0,0
365,Physiotherapy (Pre-Registration),24,University of Hertfordshire,18950,0,7,0,0
366,"Cybercrime, Terrorism and Security",12,University of Portsmouth,17200,2.2,6.5,0,0
367,Agroforestry and Food Security,12,Bangor University,19500,2.2,6,1,0
368,Employment Law  - Part-time (Online),24,The University of Law,11350,2.2,0,0,0
369,Higher Education - Part Time (Online),16,The University of Law,6600,0,6.5,1,1
370,Forestry (Distance Learning),36,Bangor University,17500,2.1,0,0,1
