Domain,Uni Name,Description
Cyber Security,University of the West of England (UWE Bristol),"6,313,605 PKR / year
1 year
This Cyber Security course from the University of the West of England (UWE Bristol) seeks to address the global cyber skills gap, providing you with the advanced knowledge and understanding of cyber security issues you need to succeed in this industry."
Human Resource Management,University of Central Lancashire (UCLan),"1,499,130 PKR / year
2 years
Your Human Resource Management programme at University of Central Lancashire (UCLan) is accredited by the Chartered Institute of Personnel and Development (CIPD). The CIPD is the professional body for HRM/HRD professionals in the UK, and further afield."
Cardiology,Learna,"1,600,148 PKR / year
2 years
The Cardiology programme from Learna is designed to provide healthcare professionals who experience patients presenting with cardiology related conditions and wish to improve their knowledge, skills and experience in this area."
Information Technology Law (Online Learning),The University of Edinburgh,"8,663,668 PKR / year
1 year
This Information Technology Law (Online Learning) programme from The University of Edinburgh focuses on the regulatory framework that governs information technology within international, European and domestic settings."
Project Management,University of Essex Online,"2,179,597 PKR / year
2 years
This Project Management MSc course from University of Essex Online is designed to develop your personal and professional skills in areas such as communication, teamwork, leadership, critical evaluation and time management, alongside giving you practical techniques and in-depth knowledge of best practices when managing projects of any size."
Global Human Resource Management,University of Portsmouth,"3,332,180 PKR / year
2 years
Industry experts teaching this HRM MSc will prepare you to deal with a diverse work environment, while keeping employees happy."
Psychology,University of Essex Online,"2,179,246 PKR / year
1 year, 4 months
This Psychology Postgrad.Dip programme from University of Essex Online will allow you to expand your knowledge across key areas within psychology and help you gain skills beneficial in a wide range of related careers. Convert your fascination with the human mind into a professional career with this 100% online short psychology qualification."
Supply Chain Management and Global Logistics,University of Essex Online,"2,179,246 PKR / year
1 year, 4 months
This Supply Chain Management and Global Logistics Postgrad.Dip programme  from University of Essex Online goes into detail on each stage in the supply chain journey, from procurement to delivery, with a particular focus on the increasingly important procurement and sustainability aspects of the sector."
Accounting,Edinburgh Napier University,"5,994,417 PKR / year
1 year
Accounting course at Edinburgh Napier University has been developed for students who have not previously studied Accounting but are interested in a career in accountancy or performance management or who are interested in conducting academic research in accounting and business reporting."
Healthcare Leadership,University of Hull,"1,718,703 PKR / year
2 years
Study healthcare leadership and management as an ever-evolving process that requires self-reflection and continuous development. Learn how to critically evaluate your activities as a leader in order to positively engage with and impact those around you with the Healthcare Leadership programme from University of Hull Online."
Global MBA (Sales Management),London School of Business and Finance,"2,104,535 PKR / year
1½ year
It's your Global MBA. Join the Global MBA (Sales Management) programme from London School of Business and Finance."
Renewable Energy,Edinburgh Napier University,"6,061,060 PKR / year
1 year
Throughout this Renewable Energy MSc degree from Edinburgh Napier University you'll gain the theoretical and practical skills to explore the growing field of renewable energy technologies."
Academic Practice (PGDAP),University of Liverpool Online Programmes,"3,756,595 PKR / year
1 year
This Academic Practice (PGDAP) programme from University of Liverpool Online Programmes has been designed for students from both teaching and non-teaching backgrounds in higher education (HE) to provide an opportunity to enhance their academic practice, academic leadership and ability to support learning and teaching in a global context."
Criminology and Criminal Psychology,University of Essex Online,"2,179,597 PKR / year
2 years
The Criminology and Criminal Psychology MSc program from University of Essex Online helps you take advantage of the new opportunities available within psychology, as well as making you aware of how new and growing challenges can be addressed."
Environmental Management,Kingston University,"6,488,982 PKR / year
1 year
The Environmental Management course at Kingston University explores the exploitation of natural environments and the relationships between sustainable environmental management and natural ecosystems."
Information Technology,University of the West of England (UWE Bristol),"6,050,538 PKR / year
1 year
The Information Technology from the University of the West of England (UWE Bristol) prepares you for the intellectual, analytical and practical challenges of a career in IT."
Pre-Master’s Programme,University of Hull,"5,608,585 PKR / year
1 year
The Pre-Master’s Programme at ONCAMPUS Hull  is a two semester programme, with guaranteed progression* to a wide range of Business-related Master’s degrees at the University of Hull. You will study your Master's programme at our Centre located at the heart of the University of Hull campus."
Marketing and Strategy,Warwick Business School,"11,311,875 PKR / year
1 year
Aimed at those with previous marketing or strategy study, the MSc Marketing and Strategy course at the University of Warwick combines these two key disciplines, providing the theoretical background for making sound marketing decisions, both within companies and from advisory perspectives in service providers and consultancies."
Creative Writing,University of Roehampton,"6,076,844 PKR / year
1 year
This Creative Writing program at University of Roehampton is at the forefront of literary MA provision in the UK"
Infection Control,University of Essex Online,"1,453,181 PKR / full
8 months
This Infection Control Postgrad.Cert course from University of Essex Online is an ideal programme to help you improve your career prospects, if you intrigued by the world of infection control or are you an infection control healthcare professional looking to make your way up the career ladder."
Global Finance Analytics,King's College London,"4,573,154 PKR / year
2 years
Unlock the future of finance with data-driven insights and knowledge. Join the Global Finance Analytics programme from King's College London."
Business and Management (Business Analytics),University of Essex Online,"2,179,597 PKR / year
2 years
This Business and Management (Business Analytics) MSc degree from University of Essex Online increases your confidence working with data and develop your managerial skills for the fast-paced business world."
Renal Medicine,Learna,"1,655,567 PKR / year
2 years
The Renal Medicine programme from Learna is scenario-based with a clinical focus and is based on extensive research with primary care practitioners; it is highly relevant for front-line healthcare professionals and includes the most recent developments in renal medicine"
Organisational Psychology,University of Essex Online,"1,453,181 PKR / full
8 months
This Organisational Psychology Postgrad.Cert course from University of Essex Online is a great choice to develop your knowledge and skills in this field if you have a personal or professional interest in business psychology."
Construction Project Management,University of the West of England (UWE Bristol),"6,050,538 PKR / year
1 year
The MSc Construction Project Management from University of the West of England (UWE Bristol) is designed specifically to enhance your understanding of managing projects, and to support construction professionals in practice and client organisations."
International Banking and Finance Law,University of the West of England (UWE Bristol),"5,436,715 PKR / year
1 year
Part of the comprehensive range of LLM programmes, the LLM in International Banking and Finance Law from University of the West of England (UWE Bristol) offers you a pathway to specialise in law relating to the global finance and banking sectors."
International Business Law,University of Essex Online,"1,453,181 PKR / full
8 months
This International Business Law Postgrad.Cert course from University of Essex Online will allow you to gain specialised knowledge of the important field of international business law. An understanding of the key components of global commerce is useful in a range of roles, including management of a multi-national company and practising law within an international firm."
Global Mental Health and Wellbeing,University of Essex Online,"1,453,181 PKR / full
8 months
Join this Global Mental Health and Wellbeing Postgrad.Cert course from University of Essex Online if you are curious about the mental health policies adopted by various countries this is the programme for you."
Data Science,University of Essex Online,"2,179,597 PKR / year
2 years
This Data Science MSc degree from University of Essex Online will provide individuals that don’t have a background in computer science with the skills to work professionally in this highly sought-after industry."
Accounting and Finance,University of Huddersfield,"6,173,302 PKR / year
1 year
The Accounting and Finance course at University of Huddersfield will provide you with key insights, with an emphasis on critical evaluation of regulatory and governance issues in financial management from an accounting perspective."
Genomic Medicine and Healthcare,Learna,"1,473,174 PKR / year
2 years
The Genomic Medicine and Healthcare programme from Learna aims to equip graduates with critical knowledge and understanding of genomic medicine."
Real Estate Management,University of the West of England (UWE Bristol),"6,050,538 PKR / year
1 year
This Real Estate Management course from University of the West of England (UWE Bristol) gives you a set of transferable skills that make you highly sought after in the job market, and delivers a programme of study to provide graduates of a non-associated degree with the core technical knowledge and skills that can lead to membership of the Royal Institution of Chartered Surveyors (RICS)."
Calcium and Bone Medicine,Learna,"894,427 PKR / full
½ year
The Calcium and Bone Medicine programme from Learna will allow you the opportunity to learn from peers and experts worldwide, encouraging the exchange of ideas and experiences across borders."
Neurosurgery,Learna,"1,865,319 PKR / year
2 years
The Neurosurgery course from Learna has been designed for healthcare professionals in the UK and overseas who want to specialise in Neurosurgery and develop both theoretical knowledge and research skills."
Respiratory Medicine,Learna,"1,631,015 PKR / year
2 years
The Respiratory Medicine programme from Learna has been designed to enable more health care professionals to have the required knowledge to treat patients."
Family Medicine,Learna,"1,489,660 PKR / year
2 years
The Family Medicine programme from Learna will enhance the careers of those who operate within countries that do not provide a national healthcare service, unlike the UK."
Minimally Invasive Dentistry,Queen Mary University of London,"18,765,436 PKR / year
1 year
The Minimally Invasive Dentistry programme offered at Queen Mary University of London is concerned with treating major dental issues, which can arise across all age groups. This novel discipline of clinical dentistry teaches you how to adopt an approach of minimal intervention to patient tooth treatments and restorations. MID bridges the traditional gap between prevention and surgical procedures."
Law (Online Learning),The University of Edinburgh,"8,663,668 PKR / year
1 year
The Law (Online Learning) programme from The University of Edinburgh offers a diverse and flexible range of courses, enabling you to tailor the LLM to suit your specific professional and personal needs."
Digital Futures,King's College London,"3,020,358 PKR / year
2 years
Professionals who can spot and capitalise on current and future digital trends in culture and society are in high demand globally. The Digital Futures programme from King's College London nurtures the creativity and critical thinking needed to do just that."
Global Financial Management,University of Roehampton,"6,260,991 PKR / year
1 year
This Global Financial Management programme from University of Roehampton will provide you with a holistic understanding of finance and business strategy in a global context."
Computing,University of Roehampton,"6,076,844 PKR / year
1 year
The Computing from University of Roehampton is a conversion programme that requires no previous academic experience in the field of computing."
Applied Health Economics,Learna,"1,473,174 PKR / year
2 years
The Applied Health Economics programme from Learna will enable health care professionals to be well equipped to elicit the maximum value from finite budgets."
International Management,University of the West of England (UWE Bristol),"5,875,160 PKR / year
1 year
The International Management course from University of the West of England (UWE Bristol) is designed to give you a solid grounding in the knowledge, and analytical and research skills, to be able to work successfully in an international environment with modules covering everything from globalisation to managing people in an international context."
Global Digital Marketing,University of Essex Online,"1,453,181 PKR / full
8 months
This Global Digital Marketing Postgrad.Cert course from University of Essex Online is designed to introduce you to a range of key marketing strategies and concepts, and the practical skills needed to implement these techniques."
Real Estate Finance and Investment,University of the West of England (UWE Bristol),"6,050,538 PKR / year
1 year
The MSc Real Estate Finance and Investment from University of the West of England (UWE Bristol) concentrates on the financing and investment of property but also provides an overview of surveying and property issues. It leads to a career in surveying a well-respected profession with excellent earning potential and the opportunity to work anywhere in the world."
Marketing,The University of Exeter,"10,347,296 PKR / year
9 months
This Marketing MSc programme from The University of Exeter draws upon our expertise in the areas of marketing strategy, consumer behaviour, communications, marketing research and branding."
Cyber Security,University of Liverpool Online Programmes,"2,253,957 PKR / year
2½ years
This Cyber Security MSc degree from University of Liverpool Online Programmes is aimed principally at graduates who are already in IT-related employment who seek to enhance their abilities in the rapidly expanding field of cyber security."
International Corporate and Commercial Law,King's College London,"3,969,153 PKR / year
2 years
Study with world-leading academics in one of the oldest, most respected law schools in the UK. Expand your understanding of the issues and challenges of corporate and commercial law in a global context. Join the International Corporate and Commercial Law programme from King's College London."
Gastroenterology,Learna,"1,655,567 PKR / year
2 years
The Gastroenterology programme from Learna is designed to facilitate a better understanding of common gastroenterology disorders typically found in the community and will enable students to up-skill in diagnostic and management of gastroenterological disorders."
Engineering Management,University of the West of England (UWE Bristol),"6,050,538 PKR / year
1 year
The MSc Engineering Management at University of the West of England (UWE Bristol) offers a unique opportunity for those who are eager to equip themselves with the essential capabilities and industry-relevant skills to excel as a future leader in an increasingly globally connected environment."
Project Management,University of Essex Online,"1,453,181 PKR / full
8 months
This Project Management Postgrad.Cert programme from University of Essex Online, delves into the essential project management techniques needed to succeed in this career."
International Healthcare Management,University of Essex Online,"2,179,246 PKR / year
1 year, 4 months
This International Healthcare Management Postgrad.Dip course from University of Essex Online, that will provide you with a critical understanding of leadership and management theory, challenges and practices within a global healthcare environment."
Engineering Project Management,University of Roehampton,"6,962,503 PKR / year
1 year
The Engineering Project Management program from University of Roehampton will give you the opportunity to enter a rapidly expanding market, in a unique partnership with our engineering and business schools."
Global Master of Business Administration,University of Hull,"2,104,535 PKR / year
2 years
Become the business leader you know you can. Gain the academic knowledge and hands-on skills to springboard your career to new heights with the Global Master of Business Administration from University of Hull Online."
Criminology and Criminal Psychology,University of Essex Online,"1,453,181 PKR / full
8 months
Within this Criminology and Criminal Psychology Postgrad.Cert from University of Essex Online students will consider these and learn how to apply their theoretical knowledge to a number of practical situations. Crime in modern society can only be tackled thoroughly with a good understanding of the theory, history and challenges that face the discipline."
"Dental Public Health, Policy and Leadership (Online)",Queen Mary University of London,"4,016,154 PKR / year
2 years
This Dental Public Health, Policy and Leadership (Online) programme offered at Queen Mary University of London will equip you with the skills to lead, plan, implement and evaluate health policies and programmes in your own setting. You will gain confidence to become a strategic global oral health leader."
Preventative Cardiovascular Medicine,Learna,"1,613,477 PKR / year
2 years
The Preventative Cardiovascular Medicine programme from Learna has been developed to holistically address the approach to vascular disease."
Engineering Business Management online,University of Bath Online,"2,338,138 PKR / year
2 years, 3 months
This Engineering Business Management online MSc degree from the University of Bath combines the academic excellence and industrial networks from the Faculty of Engineering & Design plus the EQUIS- and AMBA-accredited School of Management."
Global Master of Business Administration,University of London,"6,257,834 PKR / year
1 year
The Global Master of Business Administration programme from the University of London equips you with an expert understanding of the challenges facing today’s global business leaders."
Artificial Intelligence,University of Essex Online,"2,179,246 PKR / year
1 year, 4 months
This Artificial Intelligence Postgrad.Dip programme from University of Essex Online is designed for individuals who don’t have a background in computer science but want to pursue a career in this innovative field. Unlock access to the exciting and growing field of artificial intelligence (AI) with our conversion course."
Cyber Security and Digital Forensics,University of Portsmouth,"3,682,936 PKR / year
2 years
This Online MSc will allow you to protect the digital assets of your company and to effectively combat illegal digital activities."
Accounting and Finance,Warwick Business School,"13,328,721 PKR / year
1 year
Challenge yourself to explore how accounting and reporting decisions affect markets and companies, and view accounting in its wider social context with the MSc Accounting and  Finance at University of Warwick."
Data Science,University of Essex Online,"2,179,246 PKR / year
1 year, 4 months
This Data Science Postgrad.Dip programme from University of Essex Online will equip you with all the tools and knowledge needed to make data-driven decisions in any industry."
International Development,King's College London,"3,244,491 PKR / year
2 years
If you’re interested in world events and championing global equality, this MSc in International Development from King's College London can lead to an exciting career with real-world impact."
International Supply Chain Management,The University of Exeter,"10,347,296 PKR / year
1 year
This International Supply Chain Management MSc programme from The University of Exeter is developed to combines engineering principles, advanced digital technology utilisation, and managerial skills to make strategic decisions of sustainable and resilient supply chain operations."
Bioinformatics,Queen Mary University of London,"11,171,573 PKR / year
1 year
Biological sciences are more data driven than ever before and bioinformatics is now central to modern biological research.  This Bioinformatics programme at Queen Mary University of London will teach you how to analyse, integrate, visualise and manipulate large datasets, make new discoveries and reveal new insights in biological sciences."
Project Management for Construction,University of Portsmouth,"Tuition unknown
2 years
If you see yourself leading multi-organisational teams on a construction project, but need to hone your management skills first, you’ve come to the right place."
Project Management,University of the West of England (UWE Bristol),"6,313,605 PKR / year
1 year
The Project Management course from University of the West of England (UWE Bristol) will put you in a strong position to pursue a career in project management within any business sector. Businesses require strong project management expertise in many other areas, too. You could work as a supply chain manager, project engineer, project analyst, environmental manager or programme manager."
Landscape Architecture Studies,Arts University Bournemouth,"1,490,712 PKR / year
2 years
This part-time, fully-online MA Landscape Architecture Studies from Arts University of Bournemouth Online (AUB) will empower you with the specialist knowledge and skills you need to create spaces that have a positive impact on society, culture, and the environment."
Biomedical and Analytical Science,University of Huddersfield,"6,559,134 PKR / year
1 year
The M.S. in Biomedical and Analytical Science at University of Huddersfield will enable you to develop a postgraduate depth of knowledge relating to biomedicine and analytical methodologies utilised in biomedical science."
Artificial Intelligence,University of Hull,"1,446,868 PKR / year
2 years
Build a career that’s future-proofed. Advance your knowledge of artificial intelligence and master its application to businesses across different fields and sectors with the Artificial Intelligence (AI) at University of Hull Online."
Financial Technology,Kingston University,"6,629,285 PKR / year
1 year
Financial Technology from Kingston University has been designed to prepare graduates and professionals with the skills needed to launch a career in FinTech or the financial services sector."
Enterprise IT Management,University of Essex Online,"4,359,193 PKR / year
2 years
Businesses need to adopt more stable technologies – so if you’re looking to protect your company from cyber threats and develop the skills to make it more digital, consider our 100% online Enterprise IT Management program from University of Essex Online."
Experimental Oral Pathology (Oral Sciences),Queen Mary University of London,"10,136,843 PKR / year
1 year
This Experimental Oral Pathology (Oral Sciences) MSc programme offered at Queen Mary University of London introduces you to the principles of experimental pathology in oral disease. We offer you comprehensive training in the principles of laboratory research methods and the range of techniques used to study the behaviour of oral tissues in health and disease."
Digital Marketing,University of Roehampton,"6,076,844 PKR / year
1 year
Gain the knowledge to develop and implement digital marketing strategies in a socially responsible manner with our Digital Marketing from University of Roehampton"
Applied Public Health,University of Central Lancashire (UCLan),"1,499,130 PKR / year
2 years
Confidently rise to the challenges of today’s rapidly-evolving field of public health. This part-time, fully-online MSc Applied Public Health from University of Central Lancashire (UCLan) will empower you with the unique skills, knowledge and perspectives highly sought-after by public health organisations around the world."
Business Management,University of Essex Online,"1,453,181 PKR / full
8 months
This Business Management Postgrad.Cert course from University of Essex Online is a great choice if you’re seeking a way to gain essential business skills and knowledge while keeping your future study options open."
Leadership in Healthcare,Learna,"1,595,939 PKR / year
2 years
The Leadership in Healthcare programme from Learna combines theory and practice by applying the theoretical aspects to real life practice scenarios."
Finance and Investments (Accounting and Financial Management),London School of Business and Finance,"2,806,046 PKR / year
1½ year
And with the option of a pay-as-you-go fee structure, you can earn your Finance and Investments (Accounting and Financial Management) degree from London School of Business and Finance in as little as 18 months."
"Dental Public Health, Policy and Leadership (Online)",Queen Mary University of London,"3,104,189 PKR / year
1 year, 9 months
This Dental Public Health, Policy and Leadership (Online) Postgraduate Diploma from Queen Mary University of London develops your ‘real world’ transferable public health skills, enabling you to make evidence-based decisions and demonstrate strong public health leadership skills."
Computer Science,University of Essex Online,"2,179,246 PKR / year
1 year, 4 months
The Computer Science Postgrad.Dip course from University of Essex Online makes it easy to fit around your existing job, and the course covers both essential themes within computer science."
Business and Management (Business Analytics),University of Essex Online,"2,179,246 PKR / year
1 year, 4 months
This Business and Management (Business Analytics) Postgrad.Dip course from University of Essex Online is designed for professionals who want to understand the uses of data within marketing, sales, customer service, market development, finance and much more. It will increase your confidence working with different types of data as well as give you a grounding in general management techniques."
Clinical Psychiatry,Learna,"1,664,336 PKR / year
2 years
The Clinical Psychiatry programme from Learna is suitable for Healthcare professionals frequently seeing patients displaying symptoms of mental health issues."
Master of Business Administration,Richmond American University in London,"6,076,844 PKR / year
1 year
The Master of Business Administration programme from Richmond American University in London is aimed at developing you into a global leader who makes an immediate impact in business."
Cyber Security,University of Essex Online,"1,453,181 PKR / full
8 months
This Cyber Security Postgrad.Cert from University of Essex Online introduces you to a number of essential topics such as: key trends and developments within cyber security; fundamentals of network security and information security governance principles; an inter-disciplinary perspective involving psychology that considers the human factor in cyber security challenges."
Renewable Energy Engineering,Kingston University,"6,488,982 PKR / year
1 year
The Renewable Energy Engineering course at Kingston University is designed with an engineering focus that deals with applications, combined with the business element; applicable whether you work for a large organisation or a small to medium-size enterprise."
Stroke Medicine,Learna,"1,367,948 PKR / year
2 years
The Stroke Medicine programme from Learna has been designed for busy healthcare professionals to demonstrate a systematic understanding of stroke medicine, and critically appraise current and potential practical treatments for use in a variety of patient population groups."
Law and Business - Finance and Accounting,The University of Exeter,"8,523,366 PKR / year
1 year
This Law and Business - Finance and Accounting LL.M programme from The University of Exeter combines the delivery of legal and business education between the Exeter Law School and the Triple Accredited University of Exeter Business School"
Costume Making,The Liverpool Institute for Performing Arts (LIPA),"6,839,738 PKR / year
1 year
Their Costume Making course at The Liverpool Institute for Performing Arts (LIPA) provides you with a holistic postgraduate experience that enables you to become a versatile and creative costume maker with advanced design interpretation and technical construction skills."
Hospitality Business Leadership,Glion Institute of Higher Education,"8,493,477 PKR / year
1½ year
This Master’s in Hospitality Business Leadership from Glion Institute of Higher Education will teach you the skills to manage business, operations and people in international hotels and world-class hospitality companies."
International Human Resource Management,University of Liverpool Online Programmes,"2,253,957 PKR / year
2½ years
This International Human Resource Management MSc degree from University of Liverpool Online Programmes is a fully online, part-time programme designed to equip managers, HR professionals and those seeking a career in HR with the intellectual, learning and professional skills they need to make an outstanding contribution within their organisation."
Nursing,University of Essex Online,"2,179,597 PKR / year
2 years
This Nursing MSc course from University of Essex Online has been developed to allow you to gain new skills and knowledge alongside your existing responsibilities as a nurse."
Business with Marketing,Warwick Business School,"11,311,875 PKR / year
1 year
The MSc Business with Marketing course at the University of Warwick offers you the opportunity to study the key fundamentals of business and develop specific insight into marketing. A grounding in key business areas is followed by marketing modules to give you knowledge in this specialist field."
Psychology,University of Essex Online,"1,453,181 PKR / full
8 months
 This Psychology Postgrad.Cert programme from University of Essex Online, delivered online to fit around your existing commitments, and take the first step towards a new career in a field related to psychology.."
Computer Animation,Kingston University,"5,927,773 PKR / year
1 year
The Computer Animation course at Kingston University is project-based; each module aiming to equip students with a robust portfolio with which to enter the creative industries."
Sexual and Reproductive Medicine,Learna,"1,788,855 PKR / year
2 years
The Sexual and Reproductive Medicine programme from Learna will allow healthcare professionals to complete a professional project producing a piece of work, featuring a topic of personal interest in this specialist area."
International Law,University of the West of England (UWE Bristol),"5,875,160 PKR / year
1 year
Part of the comprehensive range of LLM programmes, the LLM in International Law from University of the West of England (UWE Bristol) offers you an opportunity to study the fundamentals of international law at an advanced level, linking theory to practice."
